year,month,Kanton,Herkunftsland,Indikator,value
2005,7,18,00,2,627198.0
2005,7,19,00,2,47076.0
2005,7,20,00,2,42104.0
2005,7,21,00,2,389885.0
2005,7,22,00,2,273385.0
2005,7,23,00,2,491445.0
2005,7,24,00,2,21866.0
2005,7,25,00,2,225025.0
2005,7,26,00,2,10562.0
2005,8,1,00,2,363466.0
2005,8,2,00,2,593086.0
2005,8,3,00,2,182344.0
2005,8,4,00,2,33519.0
2005,8,5,00,2,64860.0
2005,8,6,00,2,61564.0
2005,8,7,00,2,36064.0
2005,8,8,00,2,15000.0
2005,8,9,00,2,20725.0
2005,8,10,00,2,41100.0
2005,8,11,00,2,31496.0
2005,8,12,00,2,59474.0
2005,8,13,00,2,20608.0
2005,8,14,00,2,12890.0
2005,8,15,00,2,17349.0
2005,8,16,00,2,21530.0
2005,8,17,00,2,104616.0
2005,8,18,00,2,660301.0
2005,8,19,00,2,55140.0
2005,8,20,00,2,41909.0
2005,8,21,00,2,388323.0
2005,8,22,00,2,266238.0
2005,8,23,00,2,513409.0
2005,8,24,00,2,21491.0
2005,8,25,00,2,231790.0
2005,8,26,00,2,10624.0
2005,9,1,00,2,352223.0
2005,9,2,00,2,458277.0
2005,9,3,00,2,163072.0
2005,9,4,00,2,23816.0
2005,9,5,00,2,56344.0
2005,9,6,00,2,38749.0
2005,9,7,00,2,34206.0
2005,9,8,00,2,11981.0
2005,9,9,00,2,22200.0
2005,9,10,00,2,34487.0
2005,9,11,00,2,28273.0
2005,9,12,00,2,66530.0
2005,9,13,00,2,21633.0
2005,9,14,00,2,12761.0
2005,9,15,00,2,19248.0
2005,9,16,00,2,21920.0
2005,9,17,00,2,96097.0
2005,9,18,00,2,426415.0
2005,9,19,00,2,58863.0
2005,9,20,00,2,39575.0
2005,9,21,00,2,310031.0
2005,9,22,00,2,216597.0
2005,9,23,00,2,333551.0
2005,9,24,00,2,24566.0
2005,9,25,00,2,227535.0
2005,9,26,00,2,9166.0
