year,month,Kanton,Herkunftsland,Indikator,value
2017,11,8100,00,2,1973338.0
2017,12,8100,00,2,2631626.0
2018,1,8100,00,2,2871590.0
2018,2,8100,00,2,3194275.0
2018,3,8100,00,2,3328071.0
2018,4,8100,00,2,2576811.0
2018,5,8100,00,2,2874763.0
2018,6,8100,00,2,3613500.0
2018,7,8100,00,2,4422988.0
2018,8,8100,00,2,4478634.0
2018,9,8100,00,2,3694903.0
2018,10,8100,00,2,2998715.0
2018,11,8100,00,2,2025429.0
2018,12,8100,00,2,2727098.0
2019,1,8100,00,2,2836384.0
2019,2,8100,00,2,3113363.0
2019,3,8100,00,2,3352687.0
2019,4,8100,00,2,2676948.0
2019,5,8100,00,2,3006949.0
2019,6,8100,00,2,3800082.0
2019,7,8100,00,2,4568810.0
2019,8,8100,00,2,4505292.0
2019,9,8100,00,2,3705035.0
2019,10,8100,00,2,3060503.0
2019,11,8100,00,2,2085854.0
2019,12,8100,00,2,2850132.0
2020,1,8100,00,2,3037206.0
2020,2,8100,00,2,3332477.0
2020,3,8100,00,2,1271032.0
2020,4,8100,00,2,218183.0
2020,5,8100,00,2,643629.0
2020,6,8100,00,2,1454831.0
2020,7,8100,00,2,3429514.0
2020,8,8100,00,2,3279916.0
2020,9,8100,00,2,2685206.0
2020,10,8100,00,2,2068731.0
2020,11,8100,00,2,896433.0
2020,12,8100,00,2,1413580.0
2021,1,8100,00,2,1273190.0
2021,2,8100,00,2,2015435.0
2021,3,8100,00,2,1878469.0
2021,4,8100,00,2,1998179.0
2021,5,8100,00,2,2027884.0
2021,6,8100,00,2,2282949.0
2021,7,8100,00,2,3648287.0
2021,8,8100,00,2,4176588.0
2021,9,8100,00,2,3298707.0
2021,10,8100,00,2,2893907.0
2021,11,8100,00,2,1745936.0
2021,12,8100,00,2,2319318.0
2022,1,8100,00,2,2204984.0
2022,2,8100,00,2,2892697.0
2022,3,8100,00,2,3053960.0
2022,4,8100,00,2,2523861.0
2022,5,8100,00,2,2820085.0
2022,6,8100,00,2,3608503.0
2022,7,8100,00,2,4515171.0
2022,8,8100,00,2,4514339.0
2022,9,8100,00,2,3779348.0
2022,10,8100,00,2,3238618.0
2022,11,8100,00,2,2110564.0
2022,12,8100,00,2,2979015.0
2023,1,8100,00,2,3002552.0
2023,2,8100,00,2,3322703.0
2023,3,8100,00,2,3203193.0
2023,4,8100,00,2,2869696.0
2023,5,8100,00,2,3221189.0
2023,6,8100,00,2,3971449.0
2023,7,8100,00,2,4751375.0
2023,8,8100,00,2,4640759.0
2023,9,8100,00,2,4076775.0
2023,10,8100,00,2,3325170.0
2023,11,8100,00,2,2255803.0
2023,12,8100,00,2,3118419.0
2024,1,8100,00,2,3079970.0
2024,2,8100,00,2,3456920.0
2024,3,8100,00,2,3337563.0
2024,4,8100,00,2,2776614.0
2024,5,8100,00,2,3403357.0
2024,6,8100,00,2,4077716.0
2024,7,8100,00,2,4778877.0
2024,8,8100,00,2,4819936.0
2024,9,8100,00,2,4033138.0
2024,10,8100,00,2,3337688.0
2024,11,8100,00,2,2391447.0
2024,12,8100,00,2,3337362.0
2025,1,8100,00,2,3188299.0
2025,2,8100,00,2,3359391.0
2025,3,8100,00,2,3348680.0
2025,4,8100,00,2,2897459.0
2025,5,8100,00,2,3461268.0
2025,6,8100,00,2,4152037.0
2025,7,8100,00,2,4906683.0
2025,8,8100,00,2,4973567.0
2025,9,8100,00,2,4116289.0
2025,10,8100,00,2,3474542.0
